Artists,Track,Type,FA status,Has label,Permission,Comment,Tournament,Mappool slot,Tournament link,Note,Beatmap,FA listing,SoundCloud,YouTube,Spotify,Bandcamp,Asset
`ZxNX`:288,ZxNX - Altair,FA_RELEASE,FA_CATALOGUE,1,CONFIRMED,,,,,,,,https://soundcloud.com/zxnx/alt,,,,
`nekodex`:1,nekodex - osu!stream theme,OST,FA,0,ASSUMED,,,,,[osu!stream](/wiki/osu!stream) main theme,,,https://soundcloud.com/nekodex/osu-stream-theme,,,,
`nekodex`:1,nekodex - new beginnings,OST,FA,0,ASSUMED,,,,,Current tutorial song,https://osu.ppy.sh/beatmapsets/1011011,,,,,,
`nekodex`:1,nekodex - welcome to osu!,OST,FA,0,ASSUMED,,,,,Former osu! theme,,,https://soundcloud.com/nekodex/welcome-to-osu,,,,
`nekodex`:1,nekodex - welcome to christmas!,OST,FA_CATALOGUE,1,CONFIRMED,,,,,[osu!stream](/wiki/osu!stream) main theme,,,https://soundcloud.com/nekodex/welcome-to-christmas,,,,
`nekodex`:1,nekodex - circles!,OST,FA_CATALOGUE,1,CONFIRMED,,,,,2015 osu! theme,,,https://soundcloud.com/nekodex/circles,,,,
`nekodex`:1,nekodex - aureole,OST,FA_CATALOGUE,1,CONFIRMED,,,,,Christmas/Winter 2017 osu! theme,,,https://soundcloud.com/nekodex/aureole,,,,
`nekodex`:1,nekodex - carol of the circles,OST,FA_CATALOGUE,1,CONFIRMED,,,,,Christmas/Winter 2019 osu! theme,,,https://soundcloud.com/nekodex/carol-of-the-circles,,,,
`nekodex`:1,nekodex - Little Drummer Girl,OST,FA_CATALOGUE,1,CONFIRMED,,,,,Christmas/Winter 2020 osu! theme,,,https://soundcloud.com/nekodex/little-drummer-girl,,,,
`cYsmix`:2,cYsmix - triangles,OST,FA_CATALOGUE,1,CONFIRMED,,,,,Current osu!(lazer) main theme,,,https://soundcloud.com/olemlanglie/cysmix-triangles-osulazer,,,,
`nekodex`:1,nekodex - Liquid Future,OST,FA_CATALOGUE,1,CONFIRMED,,,,,Original composition for [osu!stream](/wiki/osu!stream),,,https://soundcloud.com/nekodex/liquid-future,,,,
`Peter Lambert`,Peter Lambert - osu! tutorial,OST,NONE,0,ASSUMED,,,,,Former tutorial song,https://osu.ppy.sh/beatmapsets/3756,,,,,,
`BilliumMoto`:38; `Akiri`,BilliumMoto x Akiri - Cryochemistry,TOURNAMENT_COMMUNITY,FA,0,ASSUMED,,4 Digit osu!mania World Cup 4,Grand Finals tiebreaker,/wiki/Tournaments/4DM/4,,https://osu.ppy.sh/beatmapsets/1698378,,https://soundcloud.com/billiummoto/cryochemistry,,,,
`Dictate`:21; `Spazza17`,Dictate & Spazza17 - Charlie's Perfect Math Class,TOURNAMENT_COMMUNITY,FA,0,ASSUMED,,Charlie's Perfect Math Class,Pool C FreeMod pick (C1),,,https://osu.ppy.sh/beatmapsets/1799284,,,https://www.youtube.com/watch?v=baAzs6QMeRg,,,
`VINXIS`:22,VINXIS - Commencement,TOURNAMENT_COMMUNITY,FA,0,ASSUMED,,Corsace Closed 2022,,,Livestream BGM,,,,https://www.youtube.com/watch?v=5W2xUCevUUQ,,,
`katagiri`:176,katagiri - Palace of Melancholia,TOURNAMENT_COMMUNITY,FA,0,ASSUMED,,Corsace Open 2021,Grand Finals tiebreaker,,,https://osu.ppy.sh/beatmapsets/1581367,,,https://www.youtube.com/watch?v=-Wq8Kk9Trsw,,,
